ID,FullName,Height,Nationality,Overall,Potential,BestPosition,Club,ValueEUR,ContractUntil,PreferredFoot,IntReputation,PreferredFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Born,MP,Starts,Min,90s,Goals,Assists,PasTotCmp%,PasProg,GCA,SCA,Tkl+Int,CarProg,Clr,TouDefPen,AerWon%,TouDef3rd,PasLonCmp%,Err,Recov
158023,Lionel Messi,169,Argentina,91,91,CAM,Paris Saint-Germain,54000000,2023.0,Left,5,Left,4,Low,Low,81,89,90,94,34,64,6,11,15,14,8,1987,18,18,1577,17.5,10,0.57,80.1,10.5,1.26,6.46,0.97,3.94,0.0,0.17,0.0,2.8,67.9,0.0,2.34
165153,Karim Benzema,185,France,91,91,CF,Real Madrid CF,64000000,2023.0,Right,4,Right,4,Medium,Medium,80,88,83,87,39,78,13,11,5,5,7,1987,12,12,1046,11.6,9,0.26,85.4,5.6,0.26,4.66,0.6,2.84,0.17,0.26,50.0,2.76,75.0,0.0,1.98
188545,Robert Lewandowski,185,Poland,91,91,ST,FC Barcelona,84000000,2025.0,Right,5,Right,4,High,Medium,75,91,79,86,44,83,15,6,12,8,10,1988,17,16,1334,14.8,14,0.27,76.5,3.24,0.54,3.45,0.61,1.22,0.27,0.27,51.2,1.08,68.4,0.0,1.82
192985,Kevin De Bruyne,181,Belgium,91,91,CM,Manchester City,107500000,2025.0,Right,4,Right,4,High,High,74,88,93,87,64,77,15,13,5,10,13,1991,20,18,1599,17.8,3,0.62,71.9,8.76,1.12,6.52,1.29,3.99,0.39,0.51,44.4,4.04,57.6,0.0,3.71
231747,Kylian Mbappé,182,France,91,95,ST,Paris Saint-Germain,190500000,2024.0,Right,4,Right,5,High,Low,97,89,80,92,36,76,13,5,7,11,6,1998,19,17,1468,16.3,13,0.12,79.9,4.11,0.49,4.11,0.49,6.01,0.18,0.25,54.5,1.29,53.1,0.0,1.72
209331,Mohamed Salah,175,Egypt,90,90,RW,Liverpool,115500000,2023.0,Left,4,Left,4,High,Medium,90,89,82,90,45,75,14,14,9,11,14,1992,20,20,1776,19.7,7,0.2,75.2,3.35,0.41,3.76,0.76,2.59,0.15,0.15,20.0,2.34,57.7,0.0,2.28
192119,Thibaut Courtois,199,Belgium,90,91,GK,Real Madrid CF,90000000,2026.0,Left,4,Left,1,Medium,Medium,84,89,75,90,46,89,84,89,75,89,90,1992,15,15,1350,15.0,0,0.0,83.6,0.0,0.0,0.2,0.07,0.0,0.2,31.4,100.0,37.2,52.9,0.07,1.67
167495,Manuel Neuer,193,Germany,90,90,GK,FC Bayern München,13500000,2024.0,Right,5,Right,1,Medium,Medium,87,88,91,88,56,91,87,88,91,91,88,1986,12,12,1080,12.0,0,0.0,89.1,0.08,0.0,0.17,0.0,0.0,0.33,36.3,100.0,43.3,69.8,0.08,1.75
203376,Virgil van Dijk,193,Netherlands,90,90,CB,Liverpool,98000000,2025.0,Right,4,Right,2,Medium,High,81,60,71,72,91,86,13,10,13,11,11,1991,17,17,1485,16.5,2,0.0,89.1,4.36,0.06,0.61,1.76,0.48,4.24,11.9,78.6,41.6,70.7,0.06,5.58
202126,Harry Kane,188,England,89,89,ST,Tottenham Hotspur,105500000,2024.0,Right,4,Right,3,High,High,68,91,83,82,47,82,8,10,11,14,11,1993,23,23,2055,22.8,17,0.04,69.4,4.87,0.39,3.68,0.35,1.67,0.48,0.75,46.5,2.46,61.8,0.0,2.15
200389,Jan Oblak,188,Slovenia,89,91,GK,Atlético de Madrid,85500000,2023.0,Right,5,Right,1,Medium,Medium,86,90,78,89,49,87,86,90,78,87,89,1993,18,18,1592,17.7,0,0.0,63.6,0.0,0.0,0.11,0.0,0.0,0.28,27.3,100.0,29.8,38.2,0.0,1.07
208722,Sadio Mané,174,Senegal,89,89,LM,FC Bayern München,99500000,2025.0,Right,4,Right,4,High,Medium,90,83,80,88,44,77,10,10,15,7,14,1992,14,12,906,10.1,6,0.3,72.6,3.07,0.89,4.36,0.5,4.46,0.2,0.59,52.6,2.67,64.7,0.0,2.67
