ID,FullName,Height,Nationality,Overall,Potential,BestPosition,Club,ValueEUR,ContractUntil,IntReputation,PreferredFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Born,MP,Starts,Min,90s,Goals,Assists,PasTotCmp%,Int,Clr,AerWon,Touches,PasLonCmp,Fls,Fld,SoT
106795,Gianluca Pegolo,184,Italy,70,70,GK,U.S. Sassuolo Calcio,180000,2023.0,1,Left,1,Medium,Medium,68,68,60,70,43,70,68,68,60,70,70,1981,2,2,180,2.0,0,0.0,83.1,0.0,0.5,0.0,40.5,9.5,0.0,0.5,0.0
138412,James Milner,175,England,78,78,CDM,Liverpool,4400000,2023.0,2,Right,3,Medium,High,52,70,80,76,77,74,12,9,10,8,6,1986,14,5,546,6.1,0,0.16,74.0,1.64,1.48,1.15,81.3,5.9,1.15,1.31,0.16
152908,Ashley Young,175,England,74,74,CDM,Aston Villa,1400000,2023.0,2,Right,4,High,Medium,67,65,76,76,76,70,16,10,15,16,15,1985,17,13,1192,13.2,1,0.0,74.4,1.06,2.73,0.68,66.0,3.71,1.06,0.83,0.15
156616,Franck Ribéry,170,France,76,76,CAM,US Salernitana 1919,2600000,2023.0,4,Right,5,Medium,Low,63,71,80,82,30,53,15,6,9,7,10,1983,1,0,37,0.4,0,0.0,86.4,0.0,0.0,0.0,70.0,0.0,0.0,2.5,0.0
158023,Lionel Messi,169,Argentina,91,91,CAM,Paris Saint-Germain,54000000,2023.0,5,Left,4,Low,Low,81,89,90,94,34,64,6,11,15,14,8,1987,18,18,1577,17.5,10,0.57,80.1,0.0,0.0,0.0,78.3,5.31,0.17,1.54,1.94
158121,Benoît Costil,187,France,75,75,GK,AJ Auxerre,950000,2023.0,2,Right,1,Medium,Medium,73,74,75,75,49,76,73,74,75,76,75,1987,19,19,1710,19.0,0,0.0,69.8,0.0,0.26,0.11,33.6,9.79,0.0,0.0,0.0
159261,Fabio Quagliarella,180,Italy,76,76,CAM,U.C. Sampdoria,2600000,2023.0,2,Right,4,Medium,Medium,61,80,74,78,30,61,6,7,5,4,4,1983,15,2,360,4.0,0,0.0,67.3,0.0,0.75,1.25,40.0,1.5,0.75,2.0,1.25
163489,Andrea Consigli,189,Italy,80,80,GK,U.S. Sassuolo Calcio,2300000,2024.0,2,Right,1,Medium,Medium,80,81,71,81,42,78,80,81,71,78,81,1987,19,19,1710,19.0,0,0.0,78.7,0.0,0.47,0.32,47.1,15.4,0.0,0.05,0.0
163587,Kasper Schmeichel,189,Denmark,83,83,GK,OGC Nice,4000000,2023.0,2,Right,1,Medium,Medium,81,78,79,86,45,81,81,78,79,81,86,1986,21,21,1890,21.0,0,0.0,75.2,0.05,0.19,0.14,36.2,9.71,0.0,0.0,0.0
163705,Steve Mandanda,185,France,79,79,GK,Stade Rennais FC,1900000,2024.0,3,Right,1,Medium,Medium,77,79,74,81,49,77,77,79,74,77,81,1985,20,20,1755,19.5,0,0.05,72.2,0.0,0.15,0.15,34.9,8.97,0.05,0.1,0.0
